@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "CI_CELL1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                  20
@ PC               %le         19.97797901
@ GAMMA            %le         21.31577865
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le                1000
@ ALFA             %le        0.1789932276
@ ORBIT5           %le                  -0
@ GAMMATR          %le         2.363642011
@ Q1               %le         2.395724244
@ Q2               %le         2.395724244
@ DQ1              %le        -2.518384148
@ DQ2              %le        -2.518384148
@ DXMAX            %le         34.45748962
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         100.0267292
@ BETYMAX          %le         100.0267292
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         29.03430831
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "Example 1"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "23/05/18"
@ TIME             %08s "20.56.04"
* NAME               KEYWORD                             S                  L              ANGLE                K0L                K1L                K2L                K3L                K4L                 E1                 E2 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_100"         "DRIFT"                          837.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      842.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_101"         "DRIFT"                         846.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        850                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_102"         "DRIFT"                         853.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      857.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_103"         "DRIFT"                          862.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      867.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_104"         "DRIFT"                         871.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        875                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_105"         "DRIFT"                         878.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      882.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_106"         "DRIFT"                          887.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      892.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_107"         "DRIFT"                         896.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        900                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_108"         "DRIFT"                         903.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      907.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_109"         "DRIFT"                          912.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      917.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_110"         "DRIFT"                         921.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
